date;GDP;Cons;Inv;Lab;Hours;Infl;Wage;FFR;CB_Bonds;CB_Loans;CBL;CB_Bonds_10Y;BAASpread;GZSpread;ACMTP10;R10obs
1-apr-08;0.311206544;0.780247488;-1.789548465;0.756784007;-0.001168254;0.534461132;-0.377898518;0.521666667;-1.987712561;0;1.334658243;0;0.775833333;0.858008333;0.359989498;0.9975
1-jul-08;-0.744569699;-0.161781515;-3.261296816;-0.093466484;-0.003553077;0.742000436;0.212709781;0.485;-2.270127566;0.005185177;1.774653423;0;0.835833333;1.115658333;0.499871208;0.9625
01-Oct-2008;-2.412582667;-2.287036632;-8.592376794;-1.830186856;-0.005247562;0.312111432;0.687918315;0.126666667;-2.228146422;0.101529874;7.912128831;2.241828607;1.396666667;1.928091667;0.365441298;0.5625
1-jan-09;-1.34760494;-1.090684747;-9.57726424;-4.463508198;-0.006502033;-0.010528421;-2.611302156;0.045833333;-2.200333814;0.68865893;6.819704362;2.102184945;1.369166667;1.578175;0.422281194;0.6775
1-apr-09;-0.355542096;0.092757125;-5.544977019;-6.025984447;-0.004891676;-0.145405528;2.612639492;0.045;-1.502570382;3.192560791;5.227728367;2.869813312;1.1675;1.200841667;0.59190627;0.8825
1-jul-09;0.160405014;0.767016046;0.325011501;-6.67151016;-0.002214705;0.105387414;0.469143372;0.039166667;-0.482295014;4.834735397;2.894706685;3.454848966;0.785833333;0.820233333;0.528304069;0.8275
01-Oct-2009;0.871901664;0.369613884;4.074439851;-7.436672734;0.004953331;0.337545077;0.273780056;0.03;-0.199524342;6.639939144;1.671481102;3.285475185;0.716666667;0.678291667;0.637770945;0.9625
1-jan-10;0.168082143;0.383805939;1.058793065;-7.291834827;0.002224062;0.25162785;-0.886295405;0.033333333;-0.224616863;7.961741594;0.791052848;3.339367653;0.6425;0.5902;0.632852966;0.96
1-apr-10;0.705371693;0.080172292;3.59437582;-6.645356428;0.006400782;0.46384889;0.589603541;0.048333333;-0.295457233;8.542436105;0.517535831;3.362566694;0.671666667;0.61535;0.444540449;0.7425
1-jul-10;0.527345993;0.382225989;2.470677476;-6.473712336;0.004926812;0.290375663;0.107839187;0.046666667;-0.289958061;8.398901563;0.396021873;3.237418349;0.7475;0.646091667;0.362784009;0.6325
01-Oct-2010;0.30599583;0.370793524;0.091579773;-6.700420135;0.000160467;0.560666805;-0.024539605;0.046666667;0.373921501;7.797427559;0.309012788;3.961066983;0.7625;0.583908333;0.530883287;0.825
